,phrase before,chandler's phrase
126," so what're you saying here? i should shave again, pick up some wine, what?"," well, you may wanna rethink the dirty underwear. this is basically the first time she's gonna see your underwear—you want it to be dirty?"
127, (sheepish) no.," oh, and uh, the fabric softener?"
128," ok, ok, now what is wrong with my snuggles? what, it says i'm a sensitive, warm kinda guy, you know, like a warm, fuzzy bear. ok, i can pick something else up on the way.", there you go.
129, ...horribly attractive. i'll be shutting up now., where are they? where are they?
130, this is nice. we never do anything just the two of us., it's great. maybe tomorrow we can rent a car and run over some puppies.
131," eww, i don't wanna do that.", here we go.
132," ok, have a good break-up."," hey, janice."
133," oh, my god, i am so glad you called me. i had the most supremely awful day."," hey, that's not good. can i get an espresso and a latte over here, please?"
134," we got the proofs back from that photo shoot, you know, the one with the little vegetables. anyway, they pretty much sucked, so, i blew off the rest of the day, and i went shopping...(looks through her bags)... and i got you, i'm looking, i'm looking, i'm looking, i got you...", what?
135, i got you...these. (pulls out a pair of socks), bullwinkle socks. that's so sweet.
136," well, i knew you had the rockys, and so i figured, you know, you can wear bullwinkle and bullwinkle, or you can wear rocky and rocky,or, you can mix and match, moose and squirrel. whatever you want."," that's great.  well, i'm gonna get another espresso. can i get you another latte?"
137," (holding the full cup) no, no, i'm still working on mine.", that's it?
138," yeah, it was really hard."," oh, yeah, that hug looked pretty brutal."
139," ok, you can do this. it's just like pulling off a band-aid. just do it really fast, and then the wound is exposed."," janice. hi, janice. ok, here we go. i don't think we should go out anymore. janice."
140," uh, waiter, one more plate of chicken wings over here."," here's the thing, janice. you know, i mean, it's like we're different. i'm like the bing, bing, bing. you're like the boom, boom, (chandler flails his hand out and hits janice in the eye)... boom."
141, ow!," oh, my god, i'm so sorry. are you ok?"
142," ow. um, it's just my lens. it's just my lens. i'll be right back.", (to phoebe) i hit her in the eye! i hit her in the eye! this is the worst break-up in the history of the world.
143, oh my god. (chandler downs another espresso.) how many of those have you had?," oh, i don't know, a million?"
144," chandler, easy, easy. go to your happy place. la la la la la la la.", i'm fine.
145, all right.," (singing) dum! dum-dum-dum! dum! dum! dum! dum-dum-dum!  oh, that's the wedding march. does, does that freak you out?"
146, wait here. breathe., how do you do that?
147, it's like a gift., we should always always break up together.
148," oh, he needed some time to grieve.", i'm free! i'm free!
149," (reading the program) ooh! look! look! look! look, there's joey's picture! this is so exciting!"," you can always spot someone who's never seen one of his plays before. notice, no fear, no sense of impending doom..."
150," did anybody else feel they just wanted to peel the skin off their body, to have something else to do?"," (staring at a woman across the room) ross, ten o'clock."
151, is it? feels like two.," no, ten o'clock.  (sighs and gestures to explain) there's a beautiful woman at eight, nine, ten o'clock!"
152, oh. hel-lo!," she's amazing! she makes the women that i dream about look like short, fat, bald men!"
153," well, go over to her! she's not with anyone."," oh yeah, and what would my opening line be? 'excuse me. blarrglarrghh.'"
154," oh, c'mon. she's a person, you can do it!"," oh please, could she be more out of my league? ross, back me up here."
155, he could never get a woman like that in a million years.," thank you, buddy."
156, you could do that!," y'think?  oh god, i can't believe i'm even considering this... i'm very very aware of my tongue..."
157, c'mon! c'mon!, here goes. (he walks over to her but just stands there.)
158, ...yes?," hi.... um... okay, next word... would be... chandler! chandler is my name, and, uh...(he clears his throat noisily)...hi."
159," yes, you said that."," yes, yes i did, but what i didn't say was what i was about to say, what i wanted to say was, uh... would you like to go out with me sometime, thankyou, goodnight. (he walks back to the others but she calls him back.)"
160, (admitting) saw your head. saw your head.," (running back) she said yes!! she said yes!! (to joey) awful play, man. whoah. (to all) her name's aurora, and she's italian, and she pronounces my name 'chand-lrr'. 'chand-lrr'. i think i like it better that way. (to joey) oh, listen, the usher gave me this to give to you. (he fishes a card out of his pocket.)"
161, based on this play? ...based on this play!," hey, kids."
162," (reading monica's palm) no, 'cause this line is passion, and this is... just a line."," well, i can't believe i've been here almost seven seconds and you haven't asked me how my date went."
163," oh, right, right. how was your date, 'chand-lrr'?", it was unbelievable. i-i've never met anyone like her. she's had the most amazing life! she was in the israeli army...
164," ...luckily none of the bullets hit the engine block. so, we made it to the border, but just barely, and i- ...i've been talking about myself all night long, i'm sorry. what about you? tell me one of your stories."," alright. once i got on the subway, right, and it was at night, and i rode it all the way to brooklyn... just for the hell of it.  we talked 'til like two. it was this perfect evening... more or less."
165, ...all of a sudden we realised we were in yammon.," oh, i'm sorry, so 'we' is?"
166, who's rick?, who's rick?
167, ooooohhh.," oh, so you're divorced?"
168," no, i'm still married."," so tell me, how do- how do you think your husband would feel about you sitting here with me?...sliding your foot so far up my pant leg you can count the change in my pocket?"
169," don't worry. i imagine he'd be okay with you because really, he's okay with ethan."," ethan? there's, there's an ethan?"
170, what?!," okay, we-we swallow our feelings. even if it means we’re unhappy forever. sound good?"
171, i suppose mainly sexual., ...hm.
172, oh. i'm sorry it didn't work out., what 'not work out'? i'm seeing her again on thursday. didn't you listen to the story?
173," didn't you listen to the story? i mean, this is twisted! how could you get involved with a woman like this?"," well, y'know, i had some trouble with it at first too, but the way i look at it is, i get all the good stuff: all the fun, all the talking, all the sex; and none of the responsibility. i mean, this is every guy's fantasy!"
174, tah-daaah!, are we greeting each other this way now? 'cause i like that.
175, (to rachel) i can't believe you tried to move the green ottoman.," thank god you didn't try to fan out the magazines. i mean, she'll scratch your eyes right out."
176, why would someone do that?! ...one might wonder.," someone's left a glass on the coffee table. there's no coaster. it's a cold drink, it's a hot day. little beads of condensation are inching their way closer and closer to the surface of the wood..."
177," c'mon, you guys. this is a real movie, and al pacino's in it, and that's big!"," oh no, it's terrific, it's... it's... y'know, you deserve this, after all your years of struggling, you've finally been able to crack your way into showbusiness."
178, thank you! (he goes into the bathroom.), where's joey? his mom's on the phone.
179, he's in the bathroom. i don't think you wanna go in there!," c'mon, we're roommates! (he goes into the bathroom, screams, and runs back out.) my eyes!! my eyes!!"
180, who is being loud?," oh, that would be monica. hey, listen, i wanna borrow a coupla things, aurora spent the night, i really wanna make her breakfast."
181," oh, you got the whole night, huh?"," yeah, well, i only have twenty minutes until ethan, so, y'know.. (he starts to raid the fridge.)"
182," ooh, do i sense a little bit of resentment?"," no, no resentment, believe me, it's worth it. 'kay? y'know in a relationship you have these key moments that you know you'll remember for the rest of your life? well, every- single- second is like that with aurora.. and i've just wasted about thirty-five of them talking to you people, so, uh.. monica, can you help me with the door? (he has armloads of stuff.)"
183, i was going for quiet desperation. but if you have to ask...," god, i love these fingers..."
184, thank you.," no, actually i meant my fingers. look at 'em, look at how happy they are."
185," (moves chandler's arm and look at his watch.) oh my god, i'm late. (she starts to get up.)"," oh no nonononononnononono, don't go.. (he kisses her and pulls her back down.)"
186, okay., (entering) bob. bob! bob!!! (he turns around) what the hell are you doing?!
187," okay. oh no, i have to."," (to himself) too bad, she's leaving."
188, (getting up and dressing) i'm sorry. he'll be waiting for me.," well, i thought- i thought you talked to rick."
189, it's not rick.," what, ethan? he got to spend the whole day with you!"
190," no, it's-it's andrew."," i know there'll be many moments in the years to come when i'll regret asking the following question, but- and andrew is?"
191, he's... new.," oh, so what you're saying is you're not completely fulfilled by rick, ethan and myself?"
192," no, that's not exactly what i was.."," well, y'know, most women would kill for three guys like us."
193, so what do you want?, you.
194, you have me!," nono, just you."
195, whaddyou mean?, lose the other guys.
196," ...like, ...all of them?"," c'mon, we're great together, why not?"
197," why can't we just have what we have now? why can't we just talk, and laugh, and make love, without feeling obligated to one another... and up until tonight i thought that's what you wanted too."," ...well, y'know, part of me wants that, but it's like i'm two guys, y'know? i mean, one guy's going 'shut up! this is great!' but there's this other guy. actually it's the same guy that wells up every time that grinch's heart grows three sizes and breaks that measuring device... and he's saying, y'know, 'this is too hard! get out! get out!'"
198, so... which one of the two guys will you listen to?," i don't know, i-i have to listen to both of them, they don't exactly let each other finish..."
199, which one?, ...the second guy.
200," (gets up to leave) well, call me if you change your mind."," sorry, the first guy runs the lips."
201," no? what happened, big guy?"," (to ross) ""big guy?"""
202, my mom will., something so sweet and...disturbing about that.
203," hi. um, i want to start with a song thats about that moment when you suddenly realize what life is all about. ok, here we go. (plays a chord, then the lights go out) ok, thank you very much."," oh, great. this is just..."
204," can i borrow the phone? i want to call my apartment and check on my grandma. (to monica) what's my number?  well, i never call me."," oh my god, it's that victoria's secret model. something... something goodacre."
205," (on phone) hi mom, it's jill."," she's right, it's jill. jill goodacre. oh my god. i am trapped in an atm vestibule with jill goodacre! (pause) is it a vestibule? maybe it's an atrium. oh, yeah, that is the part to focus on, you idiot!"
206," (on phone) yeah, i'm fine. i'm just stuck at the bank, in an atm vestibule.", jill says vestibule... i'm going with vestibule.
207," (on phone) i'm fine. no, i'm not alone... i don't know, some guy."," oh! some guy. some guy. 'hey jill, i saw you with some guy last night. yes, he was some guy."
208, that had to hurt!," alright, alright, alright. it's been fourteen and a half minutes and you still have not said one word. oh god, do something. just make contact, smile!  there you go!  you're definitely scaring here."
209, (awkwardly) would you like to call somebody? (offering phone),"yeah, about 300 guys i went to high school with. yeah, thanks. (takes phone)"
210, hello?," hey, it's me."
211, (to everyone) it's chandler! (on phone) are you ok?," yeah, i'm fine. (trying to cover up what he is saying) i'm trppd in an atm vstbl wth jll gdcr.  i'm trppd... in an atm vstbl... wth jll gdcr!"
212, i have no idea what you just said., (angry) put joey on the phone.
213, what's up man?, i'm trppd... in an atm vstbl... wth jll gdcr.
214," (to everyone) oh my god! he's trapped in an atm vestibule with jill goodacre! (on phone) chandler, listen. (says something intentionally garbled)"," yeah, like that thought never entered my mind."
215, would you like some gum?," um, is it sugarless?"
216," (checks) sorry, it's not."," oh, then no thanks. what the hell was that? mental note: if jill goodacre offers you gum, you take it. if she offers you mangled animal carcass, you take it."
217, (nonchalantly) yeah?," you know, on second thought, gum would be perfection. (jill gives him a stick of gum, and a strange look) 'gum would be perfection'? 'gum would be perfection.' could have said 'gum would be nice,' or 'i'll have a stick,' but no, no, no, no. for me, gum is perfection. i loathe myself."
218, (smiling) you betcha!," (chewing gum) ah, let's see. what next? blow a bubble. a bubble's good. it's got a... boyish charm, it's impish. here we go.  nice going, imp. ok, it's ok. all i need to do is reach over and put it in my mouth. (chandler slyly grabs the gum from the wall and slides it back in his mouth.)  good save! we're back on track, and i'm... (grimacing) ..chewing someone else's gum. this is not my gum. oh my god! oh my god! and now you're choking."
219," are you alright?  my god, you're choking! (she runs over and gives him the heimlich, the gum flies from his mouth) that better?", (gasping) yes... thank you. that was... that was....
220," chandler, we've been here for an hour doing this! now watch, it's easy.", ok.
221," well, this has been fun."," yes. yes, thanks for letting me use your phone... and for saving my life."
222," well, goodbye chandler. i had a great blackout. (she kisses him on the cheek) see ya.","hi, um, i'm account number 7143457. and, uh, i don't know if you got any of that, but i would really like a copy of the tape."
223," hey gorgeous, how's it going?", dehydrated japanese noodles under fluorescent lights... does it get better than this?
224," question. you're not dating anybody, are you, because i met somebody who would be perfect for you."," ah, y'see, perfect might be a problem. had you said 'co-dependent', or 'self-destructive'..."
225, do you want a date saturday?, yes please.
226," okay. he's cute, he's funny, he's-", he's a he?
227," well yeah! ...oh god. i- just- i thought- good, shelley. i'm just gonna go flush myself down the toilet now...(backs out of the room) okay, goodbye..."," ...couldn't enjoy a cup of noodles after that. i mean, is that ridiculous? can you believe she actually thought that?"
228," um... yeah. well, i mean, when i first met you, y'know, i thought maybe, possibly, you might be...", you did?
229," yeah, but then you spent phoebe's entire birthday party talking to my breasts, so then i figured maybe not."," huh. did, uh... any of the rest of you guys think that when you first met me?"
230," nono, me neither. although, uh, y'know, back in college, susan sallidor did.", you're kidding! did you tell her i wasn't?
231," no. no, it's just 'cause, uh, i kinda wanted to go out with her too, so i told her, actually, you were seeing bernie spellman... who also liked her, so..."," well, this is fascinating. so, uh, what is it about me?"
232," i dunno, 'cause you're smart, you're funny..."," ross is smart and funny, d'you ever think that about him?"
233, yeah! right!, what is it?!
234, yes. absolutely. a quality.," oh, oh, a quality, good, because i was worried you guys were gonna be vague about this."
235, now she's passed.," i just have to know, okay. is it my hair?"
236, i'd like that.," hey, gorgeous."
237," (sheepish) hey. look, i'm sorry about yesterday, i, um-"," no, nono, don't- don't worry about it. believe me, apparently other people have made the same mistake."
238, oh! okay! phew!," so, uh... what do you think it is about me?"
239," i dunno, uh... you just have a-a..."," ...quality, right, great."
240," y'know, it's a shame, because you and lowell would've made a great couple."," lowell? financial services' lowell, that's who you saw me with?"
241, what? he's cute!," well, yeah... 's'no brian in payroll."
242, is brian...?," no! uh, i d'know! the point is, if you were gonna set me up with someone, i'd like to think you'd set me up with someone like him."
243," well, i think brian's a little out of your league.", excuse me? you don't think i could get a brian? because i could get a brian. believe you me. ...i'm really not.
244, (entering with chandler) morning. we ready to go?," well, don't we look nice all dressed up?...it's stuff like that, isn't it?"
245," it really was. oh, c'mere, sweetheart. (hugs her) y'know, i think it might be time for you to start using night cream."," nothing, just your overcoat sounds remarkably like brent mussberger."
246," check it out, giants-cowboys. (he has a pocket tv)", you're watching a football game at a funeral?
247," no, it's the pre-game. i'm gonna watch it at the reception."," you are a frightening, frightening man."
248," here, sweetie, here. i took these when i had my golfing accident. (hands ross a bottle of pills. then turns to monica and pats her hair over her ears)"," oh, no-"
249," sorry- hi, i'm dorothy's daughter."," hi, i'm chandler, and i have no idea who dorothy is."
250, ...chandler!, hey.
251," yes, yes, fine, that is my penis. can we be grown-ups now?", who are those people?
252," (looking) nono, that would be me again. i'm, uh, just trying something."," hey, lowell."
253," hey, chandler.", so how's it going there in financial services?
254, it's like mardi gras without the paper mache heads. how 'bout you?," good, good. listen, heh, i dunno what shelley told you about me, but, uh... i'm not."
255, i know. that's what i told her., really.
256," pretty much, most of the time. we have a kind of... radar."," so you don't think i have a, a quality?"
257," speaking for my people, i'd have to say no. by the way, your friend brian from payroll, he is.", he is?
258," yup, and waaay out of your league. (exits)"," out of my league. i could get a brian. (brian enters behind him) if i wanted to get a brian, i could get a brian. (sees him) hey, brian."
259, hey., hey. where've you been?
260," yes, i am. as of today, i am officially joey tribbiani, actor slash model."," that's so funny, 'cause i was thinking you look more like joey tribbiani, man slash woman."
261," you know, the asthma guy was really cute.", do you know which one you're gonna be?
262," no, but i hear lyme disease is open, so... (crosses fingers)"," good luck, man. i hope you get it."
263," and i assume, chandler, you are still boycotting all the pilgrim holidays."," yes, every single one of them."
264," absolutely. shoop, shoop, shoop. only a hundred and two dollars to go.",i thought it was $98.50.
